Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,MEAN,STD
0.32,5,4,4,4,5,1,3,5,5,4,5,4,1,9,8,5,4,2,4,5,4,5,7,5,9,2,5,11,5,7,8,7,7,6,6,6,5,6,7,5,3,6,8,4,8,4,6,6,10,7,2,5,6,5,4,11,7,6,5,4,3,7,5,2,3,8,4,10,12,7,5,10,7,5,7,8,5,4,5,6,6,7,6,11,5,4,8,6,3,6,6,6,3,8,6,7,5,6,9,9,9,8,9,6,6,3,5.830188679,2.223132488
0.33,3,7,4,4,6,1,3,7,5,4,6,5,1,9,9,6,4,1,8,9,4,5,6,4,7,4,7,6,7,3,6,6,6,5,6,5,5,6,6,6,3,5,9,6,5,4,8,3,5,5,4,6,4,5,4,6,6,5,9,5,3,7,4,5,4,4,5,10,16,10,8,11,6,4,10,6,5,5,5,5,5,12,4,9,9,3,9,6,9,6,6,5,3,6,6,7,5,5,7,9,9,7,6,5,5,1,5.811320755,2.362860283
0.34,6,6,5,4,6,2,1,6,8,4,6,5,1,9,10,8,5,2,5,7,1,6,5,5,5,3,6,8,7,5,5,7,5,5,6,3,6,7,8,5,7,6,8,8,7,4,7,5,13,10,3,6,3,7,4,6,5,5,9,5,2,7,4,3,4,3,4,10,17,9,14,8,4,4,7,8,4,3,5,5,4,11,5,7,7,6,10,5,5,7,7,8,4,7,5,9,6,5,9,10,8,6,12,5,5,3,6.066037736,2.659283355
0.35,4,6,6,6,4,2,1,6,7,3,4,6,1,11,10,6,4,2,7,6,2,8,8,4,6,6,7,8,6,3,6,8,9,5,5,5,8,6,6,6,4,4,7,6,8,4,5,8,10,6,4,5,3,10,4,7,6,7,7,7,4,9,3,2,4,4,5,10,14,12,13,10,4,4,8,7,4,3,6,7,5,9,5,7,7,3,8,5,5,7,6,7,3,7,4,9,3,6,9,7,9,6,5,4,4,2,5.952830189,2.485700344
0.36,5,8,4,4,6,2,2,5,4,3,5,6,3,13,9,6,5,3,5,7,3,7,5,4,7,3,9,9,5,4,5,10,11,7,4,4,9,6,6,6,4,6,9,6,7,3,5,9,10,8,4,5,6,9,5,10,7,7,9,8,3,7,4,4,4,3,4,10,15,10,9,9,8,4,7,8,4,4,6,6,6,9,7,4,9,3,10,5,10,6,6,9,4,6,4,7,7,6,7,5,8,4,12,4,4,2,6.216981132,2.548593326
0.37,4,5,4,6,6,2,1,7,9,3,5,4,3,12,14,5,5,1,7,4,2,5,7,6,4,4,7,6,5,3,4,10,9,5,6,2,8,7,5,7,4,7,9,4,6,4,6,10,10,7,3,5,4,9,4,9,4,9,7,5,4,7,3,3,4,4,4,10,15,9,6,7,5,5,5,7,5,3,3,5,5,9,5,6,7,5,10,6,8,7,8,6,3,6,4,7,8,5,7,5,7,6,10,4,4,2,5.839622642,2.534098102
0.38,5,3,7,5,7,1,1,7,8,2,5,4,3,8,11,4,4,1,5,7,1,5,6,5,4,4,9,7,6,3,5,12,10,6,5,2,8,7,5,9,3,5,8,9,9,3,8,8,8,10,5,8,4,8,3,8,6,8,6,6,4,9,4,2,3,4,4,9,12,7,4,9,7,5,6,9,7,2,5,6,7,7,6,6,7,6,10,7,6,6,7,5,4,5,3,10,5,7,8,8,10,5,7,3,3,3,5.933962264,2.477590488
0.39,5,3,8,8,4,2,2,5,11,2,4,5,4,12,11,5,4,2,6,8,3,4,7,6,5,6,7,5,7,5,5,10,9,6,6,4,5,7,4,7,4,5,10,8,5,4,8,11,11,8,5,5,6,8,5,8,6,7,6,8,3,10,5,3,3,5,4,9,12,13,8,7,6,4,5,11,7,4,5,5,7,9,5,7,6,4,8,8,6,6,6,7,7,5,5,10,7,5,7,8,9,4,8,5,5,4,6.264150943,2.395638445
0.4,5,2,6,5,4,1,2,6,5,3,4,4,3,10,6,4,5,2,4,8,4,5,5,6,6,5,8,7,7,5,3,8,10,6,5,4,7,8,6,6,4,5,8,7,8,3,9,6,16,10,4,5,8,8,6,9,5,6,4,6,2,7,4,3,4,6,4,10,12,12,10,6,6,3,6,9,9,3,5,5,7,8,6,7,6,7,6,5,6,6,7,5,9,9,5,6,8,5,8,6,9,7,10,4,4,1,6.037735849,2.468562444
0.41,5,2,7,5,5,1,3,3,7,2,4,3,5,8,8,4,3,1,6,7,1,4,5,6,9,5,8,7,8,3,2,8,10,6,5,5,6,8,8,7,3,5,9,5,8,3,7,6,14,6,5,6,6,9,5,11,7,5,6,5,4,9,7,2,6,5,4,8,8,13,9,6,7,4,7,6,12,4,5,5,6,10,5,6,8,5,7,5,7,7,6,6,3,4,7,6,6,4,8,5,10,5,10,3,3,3,5.91509434,2.469308461
